canton,id,annee,femmes,hommes,total,vote_femme
Zurich,1,1975,8,172,180,1971
Zurich,1,1979,17,163,180,1971
Zurich,1,1983,27,153,180,1971
Zurich,1,1987,37,143,180,1971
Zurich,1,1991,36,144,180,1971
Zurich,1,1995,52,128,180,1971
Zurich,1,1999,47,133,180,1971
Zurich,1,2003,56,124,180,1971
Zurich,1,2007,58,122,180,1971
Zurich,1,2011,60,120,180,1971
Zurich,1,2015,61,119,180,1971
Zurich,1,2019,73,107,180,1971
Zoug,9,1974,2,78,80,1971
Zoug,9,1978,5,75,80,1971
Zoug,9,1982,5,75,80,1971
Zoug,9,1986,6,74,80,1971
Zoug,9,1990,13,67,80,1971
Zoug,9,1994,21,59,80,1971
Zoug,9,1998,22,58,80,1971
Zoug,9,2002,22,58,80,1971
Zoug,9,2006,27,53,80,1971
Zoug,9,2010,19,61,80,1971
Zoug,9,2014,22,58,80,1971
Zoug,9,2018,23,57,80,1971
Valais,23,1973,7,123,130,1971
Valais,23,1977,6,124,130,1971
Valais,23,1981,7,123,130,1971
Valais,23,1985,6,124,130,1971
Valais,23,1989,9,121,130,1971
Valais,23,1993,14,116,130,1971
Valais,23,1997,21,109,130,1971
Valais,23,2001,17,113,130,1971
Valais,23,2005,27,103,130,1971
Valais,23,2009,28,102,130,1971
Valais,23,2013,21,109,130,1971
Valais,23,2017,25,105,130,1971
Valais,23,2021,45,85,130,1971
Vaud,22,1974,16,184,200,1959
Vaud,22,1978,24,176,200,1959
Vaud,22,1982,23,177,200,1959
Vaud,22,1986,18,182,200,1959
Vaud,22,1990,31,169,200,1959
Vaud,22,1994,41,159,200,1959
Vaud,22,1998,44,136,180,1959
Vaud,22,2002,43,137,180,1959
Vaud,22,2007,44,106,150,1959
Vaud,22,2012,45,105,150,1959
Vaud,22,2017,48,102,150,1959
Uri,4,1976,1,63,64,1971
Uri,4,1980,1,63,64,1971
Uri,4,1984,2,62,64,1971
Uri,4,1988,6,58,64,1971
Uri,4,1992,7,57,64,1971
Uri,4,1996,10,54,64,1971
Uri,4,2000,15,49,64,1971
Uri,4,2004,15,49,64,1971
Uri,4,2008,13,51,64,1971
Uri,4,2012,12,52,64,1971
Uri,4,2016,15,49,64,1971
Uri,4,2020,16,48,64,1971
Tessin,21,1975,11,79,90,1971
Tessin,21,1979,10,80,90,1971
Tessin,21,1983,7,83,90,1971
Tessin,21,1987,12,78,90,1971
Tessin,21,1991,13,77,90,1971
Tessin,21,1995,13,77,90,1971
Tessin,21,1999,9,81,90,1971
Tessin,21,2003,10,80,90,1971
Tessin,21,2007,10,80,90,1971
Tessin,21,2011,13,77,90,1971
Tessin,21,2015,22,68,90,1971
Tessin,21,2019,31,59,90,1971
Thurgovie,20,1972,1,129,130,1971
Thurgovie,20,1976,3,127,130,1971
Thurgovie,20,1980,7,123,130,1971
Thurgovie,20,1984,13,117,130,1971
Thurgovie,20,1988,18,112,130,1971
Thurgovie,20,1992,21,109,130,1971
Thurgovie,20,1996,24,106,130,1971
Thurgovie,20,2000,33,97,130,1971
Thurgovie,20,2004,40,90,130,1971
Thurgovie,20,2008,36,94,130,1971
Thurgovie,20,2012,35,95,130,1971
Thurgovie,20,2016,34,96,130,1971
Thurgovie,20,2020,44,86,130,1971
Soleure,11,1973,6,138,144,1971
Soleure,11,1977,7,137,144,1971
Soleure,11,1981,7,137,144,1971
Soleure,11,1985,14,130,144,1971
Soleure,11,1989,16,128,144,1971
Soleure,11,1993,50,94,144,1971
Soleure,11,1997,43,101,144,1971
Soleure,11,2001,34,110,144,1971
Soleure,11,2005,22,78,100,1971
Soleure,11,2009,26,74,100,1971
Soleure,11,2013,30,70,100,1971
Soleure,11,2017,29,71,100,1971
Saint-Gall,17,1972,11,169,180,1971
Saint-Gall,17,1976,15,165,180,1971
Saint-Gall,17,1980,16,164,180,1971
Saint-Gall,17,1984,18,162,180,1971
Saint-Gall,17,1988,21,159,180,1971
Saint-Gall,17,1992,26,154,180,1971
Saint-Gall,17,1996,39,141,180,1971
Saint-Gall,17,2000,35,145,180,1971
Saint-Gall,17,2004,46,134,180,1971
Saint-Gall,17,2008,29,91,120,1971
Saint-Gall,17,2012,27,93,120,1971
Saint-Gall,17,2016,22,98,130,1971
Saint-Gall,17,2020,32,88,120,1971
Schwytz,5,1976,6,94,100,1971
Schwytz,5,1980,6,94,100,1971
Schwytz,5,1984,5,95,100,1971
Schwytz,5,1988,4,96,100,1971
Schwytz,5,1992,12,88,100,1971
Schwytz,5,1996,12,88,100,1971
Schwytz,5,2000,14,86,100,1971
Schwytz,5,2004,18,82,100,1971
Schwytz,5,2008,23,77,100,1971
Schwytz,5,2012,17,83,100,1971
Schwytz,5,2016,14,86,100,1971
Schwytz,5,2020,9,91,100,1971
Schaffouse,14,1972,3,77,80,1971
Schaffouse,14,1976,4,76,80,1971
Schaffouse,14,1980,6,74,80,1971
Schaffouse,14,1984,11,69,80,1971
Schaffouse,14,1988,12,68,80,1971
Schaffouse,14,1992,13,67,80,1971
Schaffouse,14,1996,14,66,80,1971
Schaffouse,14,2000,18,62,80,1971
Schaffouse,14,2004,17,63,80,1971
Schaffouse,14,2008,9,51,60,1971
Schaffouse,14,2012,10,50,60,1971
Schaffouse,14,2016,14,46,60,1971
Schaffouse,14,2020,16,44,60,1971
Obwald,6,1974,1,50,51,1971
Obwald,6,1978,1,50,51,1971
Obwald,6,1982,3,49,52,1971
Obwald,6,1986,4,48,52,1971
Obwald,6,1990,6,49,55,1971
Obwald,6,1994,11,44,55,1971
Obwald,6,1998,17,38,55,1971
Obwald,6,2002,17,38,55,1971
Obwald,6,2006,15,40,55,1971
Obwald,6,2010,18,37,55,1971
Obwald,6,2014,16,39,55,1971
Obwald,6,2018,14,41,55,1971
Nidwald,7,1974,1,59,60,1971
Nidwald,7,1978,1,59,60,1971
Nidwald,7,1982,3,57,60,1971
Nidwald,7,1986,3,57,60,1971
Nidwald,7,1990,7,53,60,1971
Nidwald,7,1994,13,47,60,1971
Nidwald,7,1998,15,45,60,1971
Nidwald,7,2002,11,49,60,1971
Nidwald,7,2006,11,49,60,1971
Nidwald,7,2010,10,50,60,1971
Nidwald,7,2014,9,51,60,1971
Nidwald,7,2018,13,47,60,1971
Neuchatel,24,1973,7,108,115,1959
Neuchatel,24,1977,9,106,115,1959
Neuchatel,24,1981,15,105,115,1959
Neuchatel,24,1985,11,104,115,1959
Neuchatel,24,1989,16,99,115,1959
Neuchatel,24,1993,32,83,115,1959
Neuchatel,24,1997,33,82,115,1959
Neuchatel,24,2001,34,81,115,1959
Neuchatel,24,2005,34,81,115,1959
Neuchatel,24,2009,30,85,115,1959
Neuchatel,24,2013,26,89,115,1959
Neuchatel,24,2017,39,76,115,1959
Neuchatel,24,2021,58,42,100,1959
Lucerne,3,1975,11,159,170,1971
Lucerne,3,1979,18,152,170,1971
Lucerne,3,1983,28,142,170,1971
Lucerne,3,1987,32,138,170,1971
Lucerne,3,1991,42,128,170,1971
Lucerne,3,1995,51,119,170,1971
Lucerne,3,1999,35,85,170,1971
Lucerne,3,2003,31,89,170,1971
Lucerne,3,2007,31,89,170,1971
Lucerne,3,2011,37,83,170,1971
Lucerne,3,2015,35,85,170,1971
Lucerne,3,2019,41,79,170,1971
Jura,26,1978,4,56,60,1971
Jura,26,1982,5,55,60,1971
Jura,26,1986,5,55,60,1971
Jura,26,1990,8,52,60,1971
Jura,26,1994,8,52,60,1971
Jura,26,1998,12,48,60,1971
Jura,26,2002,14,46,60,1971
Jura,26,2006,14,46,60,1971
Jura,26,2010,9,51,60,1971
Jura,26,2015,15,45,60,1971
Jura,26,2020,15,45,60,1971
Grisons,18,1975,3,117,120,1971
Grisons,18,1979,2,118,120,1971
Grisons,18,1983,6,114,120,1971
Grisons,18,1987,5,115,120,1971
Grisons,18,1991,8,112,120,1971
Grisons,18,1994,18,102,120,1971
Grisons,18,1997,20,100,120,1971
Grisons,18,2000,17,103,120,1971
Grisons,18,2003,24,96,120,1971
Grisons,18,2006,26,94,120,1971
Grisons,18,2010,26,94,120,1971
Grisons,18,2014,23,97,120,1971
Grisons,18,2018,26,94,120,1971
Glaris,8,1974,2,75,77,1971
Glaris,8,1978,2,75,77,1971
Glaris,8,1982,4,76,80,1971
Glaris,8,1986,3,77,80,1971
Glaris,8,1990,4,76,80,1971
Glaris,8,1994,6,74,80,1971
Glaris,8,1998,11,69,80,1971
Glaris,8,2002,8,72,80,1971
Glaris,8,2006,9,71,80,1971
Glaris,8,2010,7,53,60,1971
Glaris,8,2014,10,50,60,1971
Glaris,8,2018,13,47,60,1971
Genève,25,1973,13,87,100,1959
Genève,25,1977,22,78,100,1959
Genève,25,1981,20,80,100,1959
Genève,25,1985,25,75,100,1959
Genève,25,1989,32,68,100,1959
Genève,25,1993,36,64,100,1959
Genève,25,1997,36,64,100,1959
Genève,25,2001,23,77,100,1959
Genève,25,2005,31,69,100,1959
Genève,25,2009,28,72,100,1959
Genève,25,2013,26,74,100,1959
Genève,25,2018,32,68,100,1959
Fribourg,10,1976,14,116,130,1971
Fribourg,10,1981,13,117,130,1971
Fribourg,10,1986,14,116,130,1971
Fribourg,10,1991,19,111,130,1971
Fribourg,10,1996,28,102,130,1971
Fribourg,10,2001,33,97,130,1971
Fribourg,10,2006,26,84,110,1971
Fribourg,10,2011,23,87,110,1971
Fribourg,10,2016,32,78,110,1971
Berne,2,1974,10,190,200,1971
Berne,2,1978,16,184,200,1971
Berne,2,1982,24,176,200,1971
Berne,2,1986,30,170,200,1971
Berne,2,1990,35,165,200,1971
Berne,2,1994,51,149,200,1971
Berne,2,1998,59,141,200,1971
Berne,2,2002,60,140,200,1971
Berne,2,2006,50,110,160,1971
Berne,2,2010,42,118,160,1971
Berne,2,2014,51,109,160,1971
Berne,2,2018,57,103,160,1971
Bâle-Ville,12,1972,21,109,130,1971
Bâle-Ville,12,1976,22,108,130,1971
Bâle-Ville,12,1980,21,109,130,1971
Bâle-Ville,12,1984,32,98,130,1971
Bâle-Ville,12,1988,35,95,130,1971
Bâle-Ville,12,1992,38,92,130,1971
Bâle-Ville,12,1996,40,90,130,1971
Bâle-Ville,12,2000,45,85,130,1971
Bâle-Ville,12,2004,47,83,130,1971
Bâle-Ville,12,2008,37,63,100,1971
Bâle-Ville,12,2012,31,69,100,1971
Bâle-Ville,12,2016,31,69,100,1971
Bâle-Ville,12,2020,42,58,100,1971
Bâle-Campagne,13,1975,13,67,80,1971
Bâle-Campagne,13,1979,14,66,80,1971
Bâle-Campagne,13,1983,12,72,84,1971
Bâle-Campagne,13,1987,16,68,84,1971
Bâle-Campagne,13,1991,23,61,84,1971
Bâle-Campagne,13,1995,23,67,90,1971
Bâle-Campagne,13,1999,29,61,90,1971
Bâle-Campagne,13,2003,30,60,90,1971
Bâle-Campagne,13,2007,31,59,90,1971
Bâle-Campagne,13,2011,32,58,90,1971
Bâle-Campagne,13,2015,34,56,90,1971
Bâle-Campagne,13,2019,36,54,90,1971
Argovie,19,1973,13,187,200,1971
Argovie,19,1977,24,176,200,1971
Argovie,19,1981,28,172,200,1971
Argovie,19,1985,32,168,200,1971
Argovie,19,1989,37,163,200,1971
Argovie,19,1993,63,137,200,1971
Argovie,19,1997,58,142,200,1971
Argovie,19,2001,58,142,200,1971
Argovie,19,2005,51,89,140,1971
Argovie,19,2009,37,103,140,1971
Argovie,19,2012,44,96,140,1971
Argovie,19,2016,51,89,140,1971
Argovie,19,2020,44,96,140,1971
Appenzell-Rh.-Int.,16,1975,0,63,63,1990
Appenzell-Rh.-Int.,16,1979,0,63,63,1990
Appenzell-Rh.-Int.,16,1983,0,61,61,1990
Appenzell-Rh.-Int.,16,1987,0,61,61,1990
Appenzell-Rh.-Int.,16,1991,1,60,61,1990
Appenzell-Rh.-Int.,16,1995,9,37,46,1990
Appenzell-Rh.-Int.,16,1999,9,37,46,1990
Appenzell-Rh.-Int.,16,2003,8,41,49,1990
Appenzell-Rh.-Int.,16,2007,10,39,49,1990
Appenzell-Rh.-Int.,16,2011,11,38,49,1990
Appenzell-Rh.-Int.,16,2015,15,35,50,1990
Appenzell-Rh.-Int.,16,2019,12,38,50,1990
Appenzell-Rh.-Ext.,15,1972,0,61,61,1989
Appenzell-Rh.-Ext.,15,1975,0,61,61,1989
Appenzell-Rh.-Ext.,15,1978,0,61,61,1989
Appenzell-Rh.-Ext.,15,1981,0,61,61,1989
Appenzell-Rh.-Ext.,15,1984,0,58,58,1989
Appenzell-Rh.-Ext.,15,1987,0,58,58,1989
Appenzell-Rh.-Ext.,15,1990,4,54,58,1989
Appenzell-Rh.-Ext.,15,1993,10,53,80,1989
Appenzell-Rh.-Ext.,15,1996,17,48,65,1989
Appenzell-Rh.-Ext.,15,1999,21,44,65,1989
Appenzell-Rh.-Ext.,15,2003,16,49,65,1989
Appenzell-Rh.-Ext.,15,2007,15,50,65,1989
Appenzell-Rh.-Ext.,15,2011,14,51,65,1989
Appenzell-Rh.-Ext.,15,2015,15,50,65,1989
Appenzell-Rh.-Ext.,15,2019,22,43,65,1989